,Kod,Nazwa,IAL_Salony
60,608000,Powiat lubartowski,21
140,1404000,Powiat gostyniński,21
300,2612000,Powiat staszowski,21
168,1433000,Powiat węgrowski,20
265,2413000,Powiat tarnogórski,20
293,2605000,Powiat konecki,20
13,214000,Powiat oleśnicki,20
242,2210000,Powiat nowodworski,20
106,1016000,Powiat tomaszowski,20
319,2817000,Powiat szczycieński,20
333,3010000,Powiat koniński,20
370,3212000,Powiat pyrzycki,19
303,2801000,Powiat bartoszycki,19
19,220000,Powiat trzebnicki,19
331,3008000,Powiat kępiński,19
260,2408000,Powiat mikołowski,19
117,1203000,Powiat chrzanowski,19
137,1401000,Powiat białobrzeski,19
354,3031000,Powiat złotowski,19
126,1212000,Powiat olkuski,19
353,3030000,Powiat wrzesiński,19
198,1808000,Powiat leżajski,18
261,2409000,Powiat myszkowski,18
256,2404000,Powiat częstochowski,18
255,2403000,Powiat cieszyński,18
107,1017000,Powiat wieluński,18
16,217000,Powiat strzeliński,18
179,1601000,Powiat brzeski,18
238,2206000,Powiat kościerski,18
25,226000,Powiat złotoryjski,18
182,1604000,Powiat kluczborski,18
68,616000,Powiat rycki,17
7,208000,Powiat kłodzki,17
264,2412000,Powiat rybnicki,17
104,1014000,Powiat sieradzki,17
98,1008000,Powiat pabianicki,17
316,2814000,Powiat olsztyński,17
40,411000,Powiat radziejowski,17
47,418000,Powiat włocławski,17
299,2611000,Powiat starachowicki,17
148,1412000,Powiat miński,17
301,2613000,Powiat włoszczowski,17
308,2806000,Powiat giżycki,17
149,1413000,Powiat mławski,17
61,609000,Powiat lubelski,16
86,810000,Powiat żagański,16
345,3022000,Powiat rawicki,16
57,605000,Powiat janowski,16
329,3006000,Powiat jarociński,16
53,601000,Powiat bialski,16
56,604000,Powiat hrubieszowski,16
206,1816000,Powiat rzeszowski,16
131,1217000,Powiat tatrzański,16
193,1803000,Powiat dębicki,16
194,1804000,Powiat jarosławski,16
257,2405000,Powiat gliwicki,16
139,1403000,Powiat garwoliński,16
108,1018000,Powiat wieruszowski,15
11,212000,Powiat lwówecki,15
115,1201000,Powiat bocheński,15
314,2812000,Powiat nowomiejski,15
262,2410000,Powiat pszczyński,15
8,209000,Powiat legnicki,15
211,1821000,Powiat leski,15
4,205000,Powiat jaworski,15
55,603000,Powiat chełmski,15
12,213000,Powiat milicki,15
38,409000,Powiat mogileński,14
210,1820000,Powiat tarnobrzeski,14
337,3014000,Powiat międzychodzki,14
125,1211000,Powiat nowotarski,14
203,1813000,Powiat przemyski,14
152,1416000,Powiat ostrowski,14
305,2803000,Powiat działdowski,14
31,402000,Powiat brodnicki,14
315,2813000,Powiat olecki,14
298,2610000,Powiat skarżyski,14
292,2604000,Powiat kielecki,14
162,1426000,Powiat siedlecki,14
294,2606000,Powiat opatowski,14
94,1004000,Powiat łęczycki,14
103,1013000,Powiat rawski,13
346,3023000,Powiat słupecki,13
58,606000,Powiat krasnostawski,13
360,3202000,Powiat choszczeński,13
267,2415000,Powiat wodzisławski,13
289,2601000,Powiat buski,13
159,1423000,Powiat przysuski,13
65,613000,Powiat parczewski,13
317,2815000,Powiat ostródzki,13
20,221000,Powiat wałbrzyski,13
171,1436000,Powiat zwoleński,13
307,2805000,Powiat ełcki,13
172,1437000,Powiat żuromiński,13
312,2810000,Powiat mrągowski,13
145,1409000,Powiat lipski,12
180,1602000,Powiat głubczycki,12
350,3027000,Powiat turecki,12
39,410000,Powiat nakielski,12
205,1815000,Powiat ropczycko-sędziszowski,12
93,1003000,Powiat łaski,12
88,812000,Powiat wschowski,12
335,3012000,Powiat krotoszyński,12
221,2006000,Powiat kolneński,12
67,615000,Powiat radzyński,12
226,2011000,Powiat sokólski,12
223,2008000,Powiat moniecki,11
163,1427000,Powiat sierpecki,11
123,1209000,Powiat myślenicki,11
5,206000,Powiat karkonoski,11
376,3218000,Powiat łobeski,11
129,1215000,Powiat suski,11
97,1007000,Powiat opoczyński,10
118,1204000,Powiat dąbrowski,10
59,607000,Powiat kraśnicki,10
304,2802000,Powiat braniewski,10
95,1005000,Powiat łowicki,10
146,1410000,Powiat łosicki,10
3,204000,Powiat górowski,9
100,1010000,Powiat piotrkowski,9
192,1802000,Powiat brzozowski,9
72,620000,Powiat zamojski,9
128,1214000,Powiat proszowicki,9
6,207000,Powiat kamiennogórski,9
48,419000,Powiat żniński,9
330,3007000,Powiat kaliski,9
41,412000,Powiat rypiński,9
191,1801000,Powiat bieszczadzki,9
160,1424000,Powiat pułtuski,8
23,224000,Powiat ząbkowicki,8
147,1411000,Powiat makowski,8
9,210000,Powiat lubański,8
122,1208000,Powiat miechowski,8
64,612000,Powiat opolski,8
296,2608000,Powiat pińczowski,8
196,1806000,Powiat kolbuszowski,8
130,1216000,Powiat tarnowski,8
161,1425000,Powiat radomski,8
207,1817000,Powiat sanocki,7
124,1210000,Powiat nowosądecki,7
102,1012000,Powiat radomszczański,7
166,1430000,Powiat szydłowiecki,7
119,1205000,Powiat gorlicki,7
195,1805000,Powiat jasielski,7
132,1218000,Powiat wadowicki,7
200,1810000,Powiat łańcucki,6
361,3203000,Powiat drawski,6
116,1202000,Powiat brzeski,6
121,1207000,Powiat limanowski,4
204,1814000,Powiat przeworski,4
291,2603000,Powiat kazimierski,3
258,2406000,Powiat kłobucki,2
209,1819000,Powiat strzyżowski,1
197,1807000,Powiat krośnieński,1
111,1021000,Powiat brzeziński,0
37,408000,Powiat lipnowski,0
