,Kod,Nazwa,IAL_Wypożyczalnie
362,3204000,Powiat goleniowski,42
308,2806000,Powiat giżycki,42
217,2002000,Powiat białostocki,42
138,1402000,Powiat ciechanowski,42
303,2801000,Powiat bartoszycki,42
122,1208000,Powiat miechowski,42
314,2812000,Powiat nowomiejski,42
253,2401000,Powiat będziński,42
107,1017000,Powiat wieluński,42
282,2473000,Powiat m.Rybnik,42
288,2479000,Powiat m.Żory,42
40,411000,Powiat radziejowski,42
333,3010000,Powiat koniński,42
169,1434000,Powiat wołomiński,42
186,1608000,Powiat oleski,42
127,1213000,Powiat oświęcimski,41
183,1605000,Powiat krapkowicki,41
354,3031000,Powiat złotowski,41
373,3215000,Powiat szczecinecki,41
53,601000,Powiat bialski,41
325,3002000,Powiat czarnkowsko-trzcianecki,41
349,3026000,Powiat śremski,41
173,1438000,Powiat żyrardowski,41
344,3021000,Powiat poznański,41
259,2407000,Powiat lubliniecki,41
295,2607000,Powiat ostrowiecki,41
268,2416000,Powiat zawierciański,41
368,3210000,Powiat myśliborski,41
104,1014000,Powiat sieradzki,41
342,3019000,Powiat pilski,40
154,1418000,Powiat piaseczyński,40
341,3018000,Powiat ostrzeszowski,40
335,3012000,Powiat krotoszyński,40
130,1216000,Powiat tarnowski,40
293,2605000,Powiat konecki,40
98,1008000,Powiat pabianicki,40
87,811000,Powiat żarski,40
364,3206000,Powiat gryfiński,40
63,611000,Powiat łukowski,40
187,1609000,Powiat opolski,39
237,2205000,Powiat kartuski,39
257,2405000,Powiat gliwicki,39
319,2817000,Powiat szczycieński,39
347,3024000,Powiat szamotulski,39
245,2213000,Powiat starogardzki,39
339,3016000,Powiat obornicki,39
148,1412000,Powiat miński,39
68,616000,Powiat rycki,39
57,605000,Powiat janowski,39
211,1821000,Powiat leski,38
159,1423000,Powiat przysuski,38
156,1420000,Powiat płoński,38
2,203000,Powiat głogowski,38
92,1002000,Powiat kutnowski,38
31,402000,Powiat brodnicki,38
105,1015000,Powiat skierniewicki,38
114,1063000,Powiat m.Skierniewice,37
164,1428000,Powiat sochaczewski,37
345,3022000,Powiat rawicki,37
167,1432000,Powiat warszawski zachodni,37
13,214000,Powiat oleśnicki,37
194,1804000,Powiat jarosławski,37
18,219000,Powiat świdnicki,37
100,1010000,Powiat piotrkowski,37
359,3201000,Powiat białogardzki,37
35,406000,Powiat grudziądzki,37
61,609000,Powiat lubelski,36
299,2611000,Powiat starachowicki,36
318,2816000,Powiat piski,36
48,419000,Powiat żniński,36
141,1405000,Powiat grodziski,36
133,1219000,Powiat wielicki,36
17,218000,Powiat średzki,36
343,3020000,Powiat pleszewski,36
131,1217000,Powiat tatrzański,36
337,3014000,Powiat międzychodzki,36
54,602000,Powiat biłgorajski,36
155,1419000,Powiat płocki,36
246,2214000,Powiat tczewski,36
79,803000,Powiat międzyrzecki,35
203,1813000,Powiat przemyski,35
198,1808000,Powiat leżajski,35
239,2207000,Powiat kwidzyński,35
315,2813000,Powiat olecki,35
277,2468000,Powiat m.Jaworzno,35
19,220000,Powiat trzebnicki,34
22,223000,Powiat wrocławski,34
184,1606000,Powiat namysłowski,34
142,1406000,Powiat grójecki,34
260,2408000,Powiat mikołowski,34
137,1401000,Powiat białobrzeski,33
316,2814000,Powiat olsztyński,33
297,2609000,Powiat sandomierski,33
88,812000,Powiat wschowski,33
38,409000,Powiat mogileński,33
361,3203000,Powiat drawski,33
150,1414000,Powiat nowodworski,33
132,1218000,Powiat wadowicki,33
182,1604000,Powiat kluczborski,32
305,2803000,Powiat działdowski,32
181,1603000,Powiat kędzierzyńsko-kozielski,32
261,2409000,Powiat myszkowski,32
206,1816000,Powiat rzeszowski,32
191,1801000,Powiat bieszczadzki,32
139,1403000,Powiat garwoliński,31
65,613000,Powiat parczewski,31
11,212000,Powiat lwówecki,31
346,3023000,Powiat słupecki,31
103,1013000,Powiat rawski,31
193,1803000,Powiat dębicki,31
12,213000,Powiat milicki,31
294,2606000,Powiat opatowski,31
292,2604000,Powiat kielecki,30
110,1020000,Powiat zgierski,30
265,2413000,Powiat tarnogórski,30
219,2004000,Powiat grajewski,30
15,216000,Powiat polkowicki,29
115,1201000,Powiat bocheński,29
370,3212000,Powiat pyrzycki,29
196,1806000,Powiat kolbuszowski,29
129,1215000,Powiat suski,29
94,1004000,Powiat łęczycki,29
353,3030000,Powiat wrzesiński,29
95,1005000,Powiat łowicki,29
143,1407000,Powiat kozienicki,29
102,1012000,Powiat radomszczański,28
162,1426000,Powiat siedlecki,28
4,205000,Powiat jaworski,28
5,206000,Powiat karkonoski,28
350,3027000,Powiat turecki,28
8,209000,Powiat legnicki,28
23,224000,Powiat ząbkowicki,28
69,617000,Powiat świdnicki,28
64,612000,Powiat opolski,27
226,2011000,Powiat sokólski,27
330,3007000,Powiat kaliski,27
376,3218000,Powiat łobeski,27
165,1429000,Powiat sokołowski,27
163,1427000,Powiat sierpecki,27
205,1815000,Powiat ropczycko-sędziszowski,26
229,2014000,Powiat zambrowski,26
121,1207000,Powiat limanowski,26
256,2404000,Powiat częstochowski,26
59,607000,Powiat kraśnicki,26
152,1416000,Powiat ostrowski,26
210,1820000,Powiat tarnobrzeski,26
56,604000,Powiat hrubieszowski,25
116,1202000,Powiat brzeski,25
39,410000,Powiat nakielski,25
304,2802000,Powiat braniewski,25
97,1007000,Powiat opoczyński,24
179,1601000,Powiat brzeski,24
180,1602000,Powiat głubczycki,24
200,1810000,Powiat łańcucki,24
120,1206000,Powiat krakowski,24
58,606000,Powiat krasnostawski,23
192,1802000,Powiat brzozowski,23
207,1817000,Powiat sanocki,23
140,1404000,Powiat gostyniński,23
223,2008000,Powiat moniecki,23
123,1209000,Powiat myślenicki,23
67,615000,Powiat radzyński,23
298,2610000,Powiat skarżyski,23
161,1425000,Powiat radomski,22
111,1021000,Powiat brzeziński,22
274,2465000,Powiat m.Dąbrowa Górnicza,22
146,1410000,Powiat łosicki,21
195,1805000,Powiat jasielski,21
25,226000,Powiat złotoryjski,21
204,1814000,Powiat przeworski,21
126,1212000,Powiat olkuski,20
222,2007000,Powiat łomżyński,20
360,3202000,Powiat choszczeński,20
300,2612000,Powiat staszowski,19
147,1411000,Powiat makowski,19
269,2417000,Powiat żywiecki,19
55,603000,Powiat chełmski,19
128,1214000,Powiat proszowicki,18
301,2613000,Powiat włoszczowski,18
276,2467000,Powiat m.Jastrzębie-Zdrój,18
332,3009000,Powiat kolski,18
118,1204000,Powiat dąbrowski,18
37,408000,Powiat lipnowski,17
209,1819000,Powiat strzyżowski,17
6,207000,Powiat kamiennogórski,16
228,2013000,Powiat wysokomazowiecki,15
290,2602000,Powiat jędrzejowski,15
117,1203000,Powiat chrzanowski,15
62,610000,Powiat łęczyński,14
296,2608000,Powiat pińczowski,13
221,2006000,Powiat kolneński,13
160,1424000,Powiat pułtuski,13
291,2603000,Powiat kazimierski,12
16,217000,Powiat strzeliński,12
172,1437000,Powiat żuromiński,12
41,412000,Powiat rypiński,8
279,2470000,Powiat m.Mysłowice,8
171,1436000,Powiat zwoleński,7
10,211000,Powiat lubiński,5
145,1409000,Powiat lipski,4
3,204000,Powiat górowski,3
264,2412000,Powiat rybnicki,0
